name,type,status,latitude,longitude,address,country,zip,timeZone,,addressBroken,cityBroken,stateBroken,,,,,,,,,,
DIB6,Delivery Station,Active,34.08329,-117.23501,"1895 Marigold Ave, Redlands, CA",United States,92374,America/Los_Angeles (UTC:-07:00),,1895 Marigold Ave, Redlands, CA,,,,,,,,,,
DIB7,Delivery Station,Active,32.65602,-116.96721,"2311 Boswell Rd, Chula Vista, CA",United States,91914,America/Los_Angeles (UTC:-07:00),,2311 Boswell Rd, Chula Vista, CA,,,,,,,,,,
DJC5,Delivery Station,Active,36.87928,-121.40219,"1500 Citation Way, Hollister, CA",United States,95023,America/Los_Angeles (UTC:-07:00),,1500 Citation Way, Hollister, CA, MG,,,,,,,,,
DJT4,Delivery Station,Active,33.91534,-117.85044,"275 Valencia Ave, Brea, CA",United States,92823,America/Los_Angeles (UTC:-07:00),,275 Valencia Ave, Brea, CA,,,,,,,,,,
DJT6,Delivery Station,Active,33.88286,-117.29426,"20920 Krameria Ave, Riverside, CA",United States,92518,America/Los_Angeles (UTC:-07:00),,20920 Krameria Ave, Riverside, CA,,,,,,,,,,
DJW8,Delivery Station,Active,33.78963,-116.45684,"35750 Date Palm Dr, Cathedral City, CA",United States,92234,America/Los_Angeles (UTC:-07:00),,35750 Date Palm Dr, Cathedral City, CA, Kochi, Kerala,,,,,,,,
DLA5,Delivery Station,Active,33.93788,-117.29741,"6250 Sycamore Canyon Boulevard, Riverside, CA",United States,92507,America/Los_Angeles (UTC:-07:00),,6250 Sycamore Canyon Boulevard, Riverside, CA,,,,,,,,,,
DLA8,Delivery Station,Active,33.91797,-118.32487,"2815 West El Segundo Boulevard, Hawthorne, CA",United States,90250,America/Los_Angeles (UTC:-07:00),,2815 West El Segundo Boulevard, Hawthorne, CA,,,,,,,,,,
DLX1,Delivery Station,Active,33.93718,-118.08018,"11811-11831 East Florence Avenue, Santa Fe Springs, CA",United States,90670,America/Los_Angeles (UTC:-07:00),,11811-11831 East Florence Avenue, Santa Fe Springs, CA,,,,,,,,,,
DLX5,Delivery Station,Active,34.1392,-118.27035,"4841 W San Fernando Rd, Los Angeles, CA",United States,90039,America/Los_Angeles (UTC:-07:00),,4841 W San Fernando Rd, Los Angeles, CA,,,,,,,,,,
DLX7,Delivery Station,Active,33.80114,-118.02119,"6450 Katella Ave, Cypress, CA",United States,90630,America/Los_Angeles (UTC:-07:00),,6450 Katella Ave, Cypress, CA, Tokyo,,,,,,,,,
DLX8,Delivery Station,Active,33.70952,-117.86216,"515 East Dyer Road, Santa Ana, CA",United States,92707,America/Los_Angeles (UTC:-07:00),,515 East Dyer Road, Santa Ana, CA,,,,,,,,,,
DLX9,Delivery Station,Active,33.98468,-118.39873,"5750 Mesmer Avenue, Los Angeles, CA",United States,90230,America/Los_Angeles (UTC:-07:00),,5750 Mesmer Avenue, Los Angeles, CA,,,,,,,,,,
DOT4,Delivery Station,Active,34.21882,-119.0291,"3001 & 3175 Mission Oaks Boulevard, Camarillo, CA",United States,93012,America/Los_Angeles (UTC:-07:00),,3001 & 3175 Mission Oaks Boulevard, Camarillo, CA,,,,,,,,,,
DOT8,Delivery Station,Active,37.70392,-122.13967,"100 & 200 Halcyon Drive, San Leandro, CA",United States,94578,America/Los_Angeles (UTC:-07:00),,100 & 200 Halcyon Drive, San Leandro, CA,,,,,,,,,,
DPS1,Delivery Station,Active,34.08556,-118.06099,"4187 Temple City Boulevard, El Monte, CA",United States,91731,America/Los_Angeles (UTC:-07:00),,4187 Temple City Boulevard, El Monte, CA,,,,,,,,,,
DPS2,Delivery Station,Active,34.28437,-118.78833,"400 National Way, Simi Valley, CA",United States,93065,America/Los_Angeles (UTC:-07:00),,400 National Way, Simi Valley, CA,,,,,,,,,,
DPS3,Delivery Station,Active,34.20388,-118.92908,"2405 Conejo Spectrum St, Thousand Oaks, CA",United States,91320,America/Los_Angeles (UTC:-07:00),,2405 Conejo Spectrum St, Thousand Oaks, CA,,,,,,,,,,
DPS6,Delivery Station,Active,34.26927,-118.71787,"1757 Tapo Canyon Road, Simi Valley, CA",United States,93063,America/Los_Angeles (UTC:-07:00),,1757 Tapo Canyon Road, Simi Valley, CA,,,,,,,,,,
DSD1,Delivery Station,Active,33.01878,-117.09152,"16550 Via Esprillo, San Diego, CA",United States,92127,America/Los_Angeles (UTC:-07:00),,16550 Via Esprillo, San Diego, CA,,,,,,,,,,
DSD2,Delivery Station,Active,33.13145,-117.2562,"2777 Loker Avenue West, Carlsbad, CA",United States,92010,America/Los_Angeles (UTC:-07:00),,2777 Loker Avenue West, Carlsbad, CA,,,,,,,,,,
DSD4,Delivery Station,Active,32.83867,-117.13865,"5650 Kearny Mesa Rd, San Diego, CA",United States,92111,America/Los_Angeles (UTC:-07:00),,5650 Kearny Mesa Rd, San Diego, CA,,,,,,,,,,
DSD5,Delivery Station,Active,33.13337,-117.22743,"3250 Business Park Drive, Vista, CA",United States,92081,America/Los_Angeles (UTC:-07:00),,3250 Business Park Drive, Vista, CA,,,,,,,,,,
DSD6,Delivery Station,Active,32.81895,-117.15237,"7995 Armour Street, San Diego, CA",United States,92111,America/Los_Angeles (UTC:-07:00),,7995 Armour Street, San Diego, CA,,,,,,,,,,
DSD8,Delivery Station,Active,32.94055,-117.01705,"14400-14500 Kirkham Way, Poway, CA",United States,92064,America/Los_Angeles (UTC:-07:00),,14400-14500 Kirkham Way, Poway, CA,,,,,,,,,,
DSF5,Delivery Station,Active,37.64649,-122.39753,"250 Utah Avenue, South San Francisco, CA",United States,94080,America/Los_Angeles (UTC:-07:00),,250 Utah Avenue, South San Francisco, CA,,,,,,,,,,
DSF7,Delivery Station,Active,37.43948,-121.92445,"807 North McCarthy Boulevard, Milpitas, CA",United States,95035,America/Los_Angeles (UTC:-07:00),,807 North McCarthy Boulevard, Milpitas, CA,,,,,,,,,,
DSF8,Delivery Station,Active,38.00079,-122.34812,"2995 Atlas Road, Richmond, CA",United States,94806,America/Los_Angeles (UTC:-07:00),,2995 Atlas Road, Richmond, CA,,,,,,,,,,
DSF9,Delivery Station,Idle,37.63506,-122.40932,"1000 San Mateo Ave, San Bruno, CA",United States,94066,America/Los_Angeles (UTC:-07:00),,1000 San Mateo Ave, San Bruno, CA,,,,,,,,,,
DSJ5,Delivery Station,Active,36.75518,-119.70492,"5440 East Olive Ave, Fresno, CA",United States,93727,America/Los_Angeles (UTC:-07:00),,5440 East Olive Ave, Fresno, CA,,,,,,,,,,
DSJ6,Delivery Station,Active,37.6524,-122.14244,"2701 W Winton Ave, Hayward, CA",United States,94545,America/Los_Angeles (UTC:-07:00),,2701 W Winton Ave, Hayward, CA,,,,,,,,,,
DSJ7,Delivery Station,Idle,37.36302,-121.86672,"615 North King Road, San Jose, CA",United States,95133,America/Los_Angeles (UTC:-07:00),,615 North King Road, San Jose, CA, Aichi,,,,,,,,,
DSJ9,Delivery Station,Active,37.76173,-122.21052,"5800 Coliseum Way, Oakland, CA",United States,94621,America/Los_Angeles (UTC:-07:00),,5800 Coliseum Way, Oakland, CA, Aichi,,,,,,,,,
DSM4,Delivery Station,Active,38.54465,-121.5795,"3620 Ramos Drive, West Sacramento, CA",United States,95691,America/Los_Angeles (UTC:-07:00),,3620 Ramos Drive, West Sacramento, CA,,,,,,,,,,
DSR2,Delivery Station,Active,38.77983,-121.31298,"7601 Foothills Boulevard, Roseville, CA",United States,95747,America/Los_Angeles (UTC:-07:00),,7601 Foothills Boulevard, Roseville, CA,,,,,,,,,,
DSR4,Delivery Station,Active,38.38639,-121.36523,"9051 Union Park Way, Elk Grove, CA",United States,95624,America/Los_Angeles (UTC:-07:00),,9051 Union Park Way, Elk Grove, CA,,,,,,,,,,
DSR6,Delivery Station,Active,38.64114,-121.40687,"2400 McClellan Park Drive, McClellan, CA",United States,95652,America/Los_Angeles (UTC:-07:00),,2400 McClellan Park Drive, McClellan, CA,,,,,,,,,,
DUR1,Delivery Station,Active,34.20138,-118.3511,"3081 & 3770 Tulare Avenue and 2815 & 2995 North Hollywood Way, Burbank, CA",United States,91504,America/Los_Angeles (UTC:-07:00),,3081 & 3770 Tulare Avenue and 2815 & 2995 North Hollywood Way, Burbank, CA,,,,,,,,,,
DUR2_TENANT1,SPP,Active,33.75166,-117.85145,"625 N Grand Avenue, Santa Ana, CA",United States,92701,America/Los_Angeles (UTC:-07:00),,625 N Grand Avenue, Santa Ana, CA,,,,,,,,,,
DUR3,Delivery Station,Active,37.43177,-121.9247,"224 N. McCarthy Blvd., Milpitas, CA",United States,95035,America/Los_Angeles (UTC:-07:00),,224 N. McCarthy Blvd., Milpitas, CA,,,,,,,,,,
DUR9,Delivery Station,Active,33.50735,-117.16372,"27711 and 27719 Diaz Road, Temecula, CA",United States,92590,America/Los_Angeles (UTC:-07:00),,27711 and 27719 Diaz Road, Temecula, CA,,,,,,,,,,
DXC3,Delivery Station,Active,33.852,-117.84679,"3370 E La Palma Ave, Anaheim, CA",United States,92806,America/Los_Angeles (UTC:-07:00),,3370 E La Palma Ave, Anaheim, CA,,,,,,,,,,
DXC8,Delivery Station,Active,37.30753,-121.87216,"1710 Little Orchard Street, San Jose, CA",United States,95125,America/Los_Angeles (UTC:-07:00),,1710 Little Orchard Street, San Jose, CA,,,,,,,,,,
FAT1,AR Sortable,Active,36.68291,-119.76563,"3575 South Orange Avenue, Fresno, CA",United States,93725,America/Los_Angeles (UTC:-07:00),,3575 South Orange Avenue, Fresno, CA,,,,,,,,,,
FAT2,Traditional Non-Sort,Active,36.35983,-119.38767,"3315 N. Kelsey Street, Visalia, CA",United States,93291,America/Los_Angeles (UTC:-07:00),,3315 N. Kelsey Street, Visalia, CA,,,,,,,,,,
FAT5,Warehouse,Active,36.68154,-119.76919,"3611 S. Northpointe Dr, Fresno, CA",United States,93725,America/Los_Angeles (UTC:-07:00),,3611 S. Northpointe Dr, Fresno, CA,,,,,,,,,,
HCA8,AR Sortable,Active,37.74568,-121.40601,"1555 North Chrisman Road, Tracy, CA",United States,95304,America/Los_Angeles (UTC:-07:00),,1555 North Chrisman Road, Tracy, CA,,,,,,,,,,
HFA2,AMXL,Active,36.68444,-119.76857,"3523 S Northpointe Dr, Fresno, CA",United States,93725,America/Los_Angeles (UTC:-07:00),,3523 S Northpointe Dr, Fresno, CA,,,,,,,,,,
HLA1,AMXL,Active,33.88006,-118.00717,"5650 Dolly Avenue, Buena Park, CA",United States,90621,America/Los_Angeles (UTC:-07:00),,5650 Dolly Avenue, Buena Park, CA,,,,,,,,,,
HLA2,AMXL,Active,34.35776,-118.51447,"21420 Needham Ranch Parkway, Santa Clarita, CA",United States,91321,America/Los_Angeles (UTC:-07:00),,21420 Needham Ranch Parkway, Santa Clarita, CA, Siero,,,,,,,,,
HLA3,AMXL,Active,33.85,-117.22314,"4375 North Perris Boulevard, Perris, CA",United States,92571,America/Los_Angeles (UTC:-07:00),,4375 North Perris Boulevard, Perris, CA,,,,,,,,,,
HLA6,SSD DC,Active,36.36719,-119.38795,"8817 W KIBLER AVE, VISALIA, CA",United States,93291,America/Los_Angeles (UTC:-07:00),,8817 W KIBLER AVE, VISALIA, CA,,,,,,,,,,
HLA8,AMXL,Active,34.35776,-118.51447,"21420 Needham Ranch Parkway, Santa Clarita, CA",United States,91321,America/Los_Angeles (UTC:-07:00),,21420 Needham Ranch Parkway, Santa Clarita, CA,,,,,,,,,,
HLI2,IXD,Active,36.90088,-121.41017,"600 Ernie Drive, Hollister, CA",United States,,America/Los_Angeles (UTC:-07:00),,600 Ernie Drive, Hollister, CA,,,,,,,,,,
HLX1,Delivery Station,Active,33.65782,-117.70853,"14300 Alton Parkway, Irvine, CA",United States,92618,America/Los_Angeles (UTC:-07:00),,14300 Alton Parkway, Irvine, CA,,,,,,,,,,
HSD2,AMXL,Active,32.56154,-116.96787,"8150 Airway Rd, San Diego, CA",United States,92154,America/Los_Angeles (UTC:-07:00),,8150 Airway Rd, San Diego, CA,,,,,,,,,,
HSF2,AMXL,Active,37.50945,-121.94071,"44051 Osgood Road, Fremont, CA",United States,94539,America/Los_Angeles (UTC:-07:00),,44051 Osgood Road, Fremont, CA,,,,,,,,,,
HSF3,AMXL,Active,38.41458,-121.9489,"4800 Midway Road, Vacaville, CA",United States,95688,America/Los_Angeles (UTC:-07:00),,4800 Midway Road, Vacaville, CA,,,,,,,,,,
HSF6,SSD DC,Idle,38.71306,-121.56682,"8035 Metro Air Pkwy, Sacramento, CA",United States,95835,America/Los_Angeles (UTC:-07:00),,8035 Metro Air Pkwy, Sacramento, CA,,,,,,,,,,
HSF9,AMXL,Active,37.50945,-121.94071,"44051 Osgood Road, Fremont, CA",United States,94539,America/Los_Angeles (UTC:-07:00),,44051 Osgood Road, Fremont, CA,,,,,,,,,,
HSM1,AMXL,Active,38.54384,-121.57676,"3640 Ramos Drive, West Sacramento, CA",United States,95691,America/Los_Angeles (UTC:-07:00),,3640 Ramos Drive, West Sacramento, CA,,,,,,,,,,
ILS1,Go,Active,33.95619,-118.01966,"14249 Whittier Blvd, Whittier, CA",United States,90605,America/Los_Angeles (UTC:-07:00),,14249 Whittier Blvd, Whittier, CA,,,,,,,,,,
ILS2,Go,Active,34.16881,-118.60619,"22001 Ventura Blvd, Woodland Hills, CA",United States,91364,America/Los_Angeles (UTC:-07:00),,22001 Ventura Blvd, Woodland Hills, CA,,,,,,,,,,
ILS3,Go,Active,33.8261,-118.35236,"22135 Hawthorne Blvd, Torrance, CA",United States,90505,America/Los_Angeles (UTC:-07:00),,22135 Hawthorne Blvd, Torrance, CA,,,,,,,,,,
IRV1,Lockers +,Active,33.64999,-117.8392,"4141 Campus Drive, Irvine, CA",United States,92612,America/Los_Angeles (UTC:-07:00),,4141 Campus Drive, Irvine, CA,,,,,,,,,,
ISF4,Go,Active,37.79482,-122.39735,"Three Embarcadero Center, San Francisco, CA",United States,94111,America/Los_Angeles (UTC:-07:00),,Three Embarcadero Center, San Francisco, CA,,,,,,,,,,
IUSJ,Kariba,Active,33.93099,-117.02977,"36900 W. Fourth Street, Beaumont, CA",United States,92223,America/Los_Angeles (UTC:-07:00),,36900 W. Fourth Street, Beaumont, CA,,,,,,,,,,
IUSQ,Warehouse,Active,34.07572,-117.22834,"2125 W San Bernardino Ave, Redlands, CA",United States,92374,America/Los_Angeles (UTC:-07:00),,2125 W San Bernardino Ave, Redlands, CA,,,,,,,,,,
KIO1,Retail,Active,33.7199,-117.7924,"13672 Jamboree Rd, Irvine, CA",United States,13672,America/Los_Angeles (UTC:-07:00),,13672 Jamboree Rd, Irvine, CA,,,,,,,,,,
KRB4,Storage and Distribution Centers (SDC),Active,33.85001,-117.2503,"4501 Patterson Avenue, Perris, CA",United States,92571,America/Los_Angeles (UTC:-07:00),,4501 Patterson Avenue, Perris, CA,,,,,,,,,,
KRIV,Amazon Air,Active,33.87329,-117.24708,"17101 Heacock Street, Moreno Valley, CA",United States,92551,America/Los_Angeles (UTC:-07:00),,17101 Heacock Street, Moreno Valley, CA,,,,,,,,,,
KSCK,Amazon Air,Active,37.90184,-121.24227,"4725 S. B Street, Stockton, CA",United States,95206,America/Los_Angeles (UTC:-07:00),,4725 S. B Street, Stockton, CA,,,,,,,,,,
KSMF,Amazon Air,Active,38.71234,-121.60226,"Sacramento International Airport, Sacramento, CA",United States,95837,America/Los_Angeles (UTC:-07:00),,Sacramento International Airport, Sacramento, CA,,,,,,,,,,
LAX5,Sort Center,Active,33.86748,-118.02739,"6400 Valley View Street, Buena Park, CA",United States,90620,America/Los_Angeles (UTC:-07:00),,6400 Valley View Street, Buena Park, CA,,,,,,,,,,
LAX59,Office,Active,34.14144,-118.15063,"257 S. Fair Oaks Ave, Pasadena, CA",United States,91105,America/Los_Angeles (UTC:-07:00),,257 S. Fair Oaks Ave, Pasadena, CA,,,,,,,,,,
LAX9,IXD,Active,34.05113,-117.44655,"11263 Oleander Avenue, Fontana, CA",United States,92337,America/Los_Angeles (UTC:-07:00),,11263 Oleander Avenue, Fontana, CA,,,,,,,,,,
LCA6,Lockers +,Active,32.74969,-117.201,"2727 Kurtz Street, San Diego, CA",United States,92110,America/Los_Angeles (UTC:-07:00),,2727 Kurtz Street, San Diego, CA,,,,,,,,,,
LGB2,Lockers +,Active,33.78017,-118.11464,"6049 East 7th Street, Long Beach, CA",United States,90840,America/Los_Angeles (UTC:-07:00),,6049 East 7th Street, Long Beach, CA,,,,,,,,,,
LGB3,AR Sortable,Active,33.99836,-117.5527,"4950 Goodman Way, Eastvale, CA",United States,91752,America/Los_Angeles (UTC:-07:00),,4950 Goodman Way, Eastvale, CA,,,,,,,,,,
LGB4,Traditional Non-Sort,Active,34.07958,-117.20367,"27517 Pioneer Avenue, Redlands, CA",United States,92374,America/Los_Angeles (UTC:-07:00),,27517 Pioneer Avenue, Redlands, CA,,,,,,,,,,
LGB5,Sort Center,Active,34.0782,-117.27344,"555 East Orange Show Road, San Bernardino, CA",United States,92408,America/Los_Angeles (UTC:-07:00),,555 East Orange Show Road, San Bernardino, CA,,,,,,,,,,
LGB6,Traditional Non-Sort,Active,33.87984,-117.29933,"20901 Krameria Avenue, Riverside, CA",United States,92518,America/Los_Angeles (UTC:-07:00),,20901 Krameria Avenue, Riverside, CA,,,,,,,,,,
LGB7,AR Sortable,Active,34.13195,-117.40531,"1660 N. Linden Avenue, Rialto, CA",United States,92376,America/Los_Angeles (UTC:-07:00),,1660 N. Linden Avenue, Rialto, CA,,,,,,,,,,
LGB8,IXD,Active,34.12961,-117.40534,"1568 N. Linden Avenue, Rialto, CA",United States,92377,America/Los_Angeles (UTC:-07:00),,1568 N. Linden Avenue, Rialto, CA,,,,,,,,,,
LGB9,AMXL,Active,33.85,-117.22314,"4375 North Perris Boulevard, Perris, CA",United States,92571,America/Los_Angeles (UTC:-07:00),,4375 North Perris Boulevard, Perris, CA,,,,,,,,,,
LOAK8,SPP,Idle,37.67366,-121.85099,"3000 Busch Rd, Pleasanton, CA",United States,94566,America/Los_Angeles (UTC:-07:00),,3000 Busch Rd, Pleasanton, CA,,,,,,,,,,
LPMDa (fka PMD3),SPP,Active,34.7345,-117.89884,"Ave G Industrial, Lancaster, CA",United States,93535,America/Los_Angeles (UTC:-07:00),,Ave G Industrial, Lancaster, CA,,,,,,,,,,
LSB1,Lockers +,Active,34.06937,-117.43693,"16843 Valley Blvd, Fontana, CA",United States,92335,America/Los_Angeles (UTC:-07:00),,16843 Valley Blvd, Fontana, CA,,,,,,,,,,
LSD5,Lockers +,Active,32.7066,-117.14516,"2040 Imperial Avenue, San Diego, CA",United States,92102,America/Los_Angeles (UTC:-07:00),,2040 Imperial Avenue, San Diego, CA,,,,,,,,,,
LSJC2,SPP,Idle,37.41838,-121.89159,"1001 Gibraltar Dr, Milpitas, CA",United States,95035,America/Los_Angeles (UTC:-07:00),,1001 Gibraltar Dr, Milpitas, CA,,,,,,,,,,
MAB1,AFS US,Active,34.13892,-118.60105,"6245 N Topanga Canyon Blvd, Woodland Hills, CA",United States,91367,America/Los_Angeles (UTC:-07:00),,6245 N Topanga Canyon Blvd, Woodland Hills, CA,,,,,,,,,,
